Name,Episodes,Released Year,Language,Rating,Ranking
Tomb of the Sea,52,2018,Chinese,8.3,1091
Summer Again,24,2021,Chinese,8.3,1092
Ore no Hanashi wa Nagai,10,2019,Japanese,8.3,1093
Shinya Shokudo,10,2009,Japanese,8.3,1095
Misty,16,2018,Korean,8.3,1097
God's Quiz,10,2010,Korean,8.3,1100
The Smile Has Left Your Eyes,16,2018,Korean,8.3,1102
The First Responders Season 2,12,2023,Korean,8.3,1103
Touch Your Heart,16,2019,Korean,8.3,1106
Lawless Lawyer,16,2018,Korean,8.3,1108
Grand Maison Tokyo,11,2019,Japanese,8.3,1109
Samurai Sentai Shinkenger,49,2009,Japanese,8.3,1112
49 Days,20,2011,Korean,8.3,1115
Mine,16,2021,Korean,8.3,1120
Coffee Prince,17,2007,Korean,8.3,1121
Are You Human Too?,36,2018,Korean,8.3,1123
Manner of Death,14,2020,Thai,8.3,1125
Gibo to Musume no Blues,10,2018,Japanese,8.3,1126
Oh My Venus,16,2015,Korean,8.3,1127
Salon De Nabi,16,2022,Korean,8.3,1128
The Lost Tomb 2,40,2019,Chinese,8.3,1129
Road Home,30,2023,Chinese,8.3,1130
Angry Mom,16,2015,Korean,8.3,1132
WATCHER,16,2019,Korean,8.3,1133
God's Quiz Season 3,12,2012,Korean,8.3,1134
Nodame Cantabile,11,2006,Japanese,8.3,1137
Run On,16,2020,Korean,8.3,1138
Doctor X Season 2,9,2013,Japanese,8.3,1139
Chef Hua,36,2020,Chinese,8.3,1141
Begin Again,35,2020,Chinese,8.2,1145
The Legends,56,2019,Chinese,8.2,1148
Amachan,156,2013,Japanese,8.2,1150
Awaken,16,2020,Korean,8.2,1153
Okitegami Kyoko no Biboroku,10,2015,Japanese,8.2,1154
